Key,Test,# Trips,# Vehicles,Solution Mode,Time window (min),weight,Competitive Ratio,Algorithm,Objective type,Objective value,# Served customers,# Rejected customers,Average profit ($),Total profit,Average revenue ($),Total revenue,Total cost($),Total wait time (min),Avg. wait time (min),Empty travel time (min),% of Service,runtime (s)
3-High_1_3_wt,3-High_1,158,25,fully_online,3,1,1.95,Ranking,waiting_time,406.05,44,114,13.5,594.12,14.84,652.98,58.86,406.05,2.57,53.38,27.8,0.027
3-High_1_6_wt,3-High_1,158,25,fully_online,6,1,1.97,Ranking,waiting_time,786.51,78,80,12.72,992.23,14.18,1106.18,113.95,786.51,4.98,261.25,49.4,0.045
3-High_1_1_wt,3-High_1,158,25,advance_notice,1,1,1.42,Ranking,waiting_time,102.6,75,83,12.97,973.05,14.59,1094.52,121.47,102.6,0.65,363.08,47.5,0.712
3-High_1_3_wt,3-High_1,158,25,advance_notice,3,1,1.55,Ranking,waiting_time,322.78,82,76,13.02,1067.45,14.64,1200.65,133.2,322.78,2.04,397.7,51.9,0.422
3-High_1_6_wt,3-High_1,158,25,advance_notice,6,1,1.72,Ranking,waiting_time,685.71,88,70,12.83,1129.45,14.43,1270.26,140.81,685.71,4.34,419.48,55.7,0.43
3-High_1_1_nc,3-High_1,158,25,fully_online,1,1,0.19,Greedy,total_customers,17.0,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_nc,3-High_1,158,25,fully_online,3,1,0.44,Greedy,total_customers,44.0,44,114,13.5,594.12,14.84,652.98,58.86,403.76,2.56,53.35,27.8,0.026
3-High_1_6_nc,3-High_1,158,25,fully_online,6,1,0.75,Greedy,total_customers,81.0,81,77,12.87,1042.4,14.29,1157.23,114.83,740.44,4.69,220.67,51.3,0.043
3-High_1_1_nc,3-High_1,158,25,advance_notice,1,1,0.87,Greedy,total_customers,77.0,77,81,13.1,1009.08,14.67,1129.68,120.6,98.19,0.62,317.5,48.7,0.87
3-High_1_3_nc,3-High_1,158,25,advance_notice,3,1,0.84,Greedy,total_customers,83.0,83,75,13.23,1097.98,14.82,1229.73,131.75,305.88,1.94,351.28,52.5,0.565
3-High_1_6_nc,3-High_1,158,25,advance_notice,6,1,0.84,Greedy,total_customers,91.0,91,67,13.15,1196.86,14.7,1337.87,141.0,642.29,4.07,354.18,57.6,0.443
3-High_1_1_nc,3-High_1,158,25,fully_online,1,1,0.19,Random,total_customers,17.0,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
3-High_1_3_nc,3-High_1,158,25,fully_online,3,1,0.44,Random,total_customers,44.0,44,114,13.5,594.12,14.84,652.98,58.86,406.05,2.57,53.38,27.8,0.027
3-High_1_6_nc,3-High_1,158,25,fully_online,6,1,0.75,Random,total_customers,81.0,81,77,12.4,1004.64,13.8,1117.88,113.24,759.07,4.8,241.03,51.3,0.045
3-High_1_1_nc,3-High_1,158,25,advance_notice,1,1,0.84,Random,total_customers,75.0,75,83,13.12,984.3,14.81,1110.65,126.35,110.46,0.7,405.57,47.5,0.561
3-High_1_3_nc,3-High_1,158,25,advance_notice,3,1,0.84,Random,total_customers,83.0,83,75,13.16,1092.24,14.8,1228.31,136.08,333.49,2.11,404.62,52.5,0.351
3-High_1_6_nc,3-High_1,158,25,advance_notice,6,1,0.8,Random,total_customers,86.0,86,72,12.97,1115.37,14.62,1257.51,142.14,728.55,4.61,448.17,54.4,0.313
3-High_1_1_nc,3-High_1,158,25,fully_online,1,1,0.19,Ranking,total_customers,17.0,17,141,15.59,265.02,17.01,289.12,24.09,143.83,0.91,0.0,10.8,0.012
